brand, product_name, shipping
MSI, MSI GeForce GTX 1060 DirectX 12 GTX 1060 6G OCV1 Video Card, $4.99 Shipping
GIGABYTE, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD Video Card, $4.99 Shipping
AMD, AMD Radeon Vega Frontier Edition 100-506061 16GB 2048-bit HBM2 Video Cards - Workstation, $4.99 Shipping
EVGA, EVGA GeForce GTX 1050 SC GAMING| 02G-P4-6152-KR| 2GB GDDR5| DX12 OSD Support (PXOC), $4.99 Shipping
ASUS, ASUS ROG GeForce GTX 1060 STRIX-GTX1060-O6G-GAMING Video Card, $4.99 Shipping
ZOTAC, ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L Video Card, $4.99 Shipping
MSI, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G Video Card, $4.99 Shipping
ASUS, ASUS GeForce GTX 1050 PH-GTX1050-2G Video Card, $4.99 Shipping
GIGABYTE, GIGABYTE Radeon RX 560 DirectX 12 GV-RX560OC-4GD REV2.0 Video Card, $3.99 Shipping
MSI, MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 4G OC Video Card, $3.99 Shipping
ZOTAC, ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card, $4.99 Shipping
